# omega_b	omega_cdm	H0	ln10^{10}A_s	n_s	tau_reio	m_ncdm_lightest	log10Gamma_nu
0.023122059043173594	0.12080278367024415	67.92296654864812	3.0487240459320994	0.9821635730751593	0.05104440918609319	0.01519563517966862	3.170937552836402
0.0222372022379133	0.11576449043957336	69.35863629183103	2.984590880634541	0.9876880445609875	0.028339281998536282	0.03966892600316556	3.029460335039236
0.022845848170507905	0.1192879418906184	68.2750015013114	3.0367280799571414	0.9758132448863794	0.0592103079520263	0.14690518105172568	2.8159480250255946
0.022469055455921094	0.11925544379916397	68.28336886313222	3.118180309083086	0.9787462497865	0.104498210809776	0.03018025214292336	5.262556947095597
0.022927130568325228	0.11862960359090766	68.6821922940884	3.0837875091402616	0.9850659509576368	0.07073108488766514	0.007463001928230489	2.663145961086436
0.02308036437806389	0.11596130142510079	69.13247182334456	2.9788250407331063	0.9799047450504703	0.023690276352523583	0.054109201408121387	5.417384513027788
0.022471057766844587	0.11458614614178374	70.43212932162876	3.1135770549819552	0.9814558139136453	0.09845266719324104	0.028955147820436157	2.5483336060004285
0.02203151885209691	0.1203641844234584	67.17233623521533	3.053779318200616	0.958501496321544	0.06830937485713255	0.07617516970378958	4.382521259340592
0.02314853235173865	0.1153903220286129	70.56179934660281	3.063838726770838	0.9765124236887675	0.056948250662203506	0.07210890176754249	2.54149919522832
0.02273093159904749	0.11879654173260154	67.76933218906734	3.0973081886382583	0.9735949742296764	0.08352115655053836	0.018466159266907194	3.218400761759036
